,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,10031
21,10020
22,10801
23,8944
24,9149
25,1
26,9840
27,3163
28,8535
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,10507
40,9481
41,9712
42,287
43,10850
44,8907
45,9502
46,9764
47,0
48,10518
49,9697
50,9000
51,9419
52,644
53,7888
54,9795
55,3334
56,9719
57,9715
58,214
59,9478
60,9702
61,10006
62,9702
63,10431
64,2148
65,10245
66,6707
67,0
68,9651
69,10025
70,7186
71,9969
72,10653
73,12523
74,9955
75,0
76,0
77,3304
78,10596
79,4839
80,9789
81,10445
82,9357
83,10277
84,10031
85,9189
86,2867
87,10267
88,9971
89,0
90,8447
91,11193
92,9714
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,10545
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
